Location,Geonames ID,Latitude,Longitude
banteay meanchey,1899273,13.75,103
battambang,1821310,12.91667,103.08333
kampong cham,1831172,12.08333,105.58333
kampong chhnang,1831166,12.16667,104.55
kampong speu,1831132,11.5,104.33333
kampong thom,1831124,12.83333,105
kampot,1831111,10.83333,104.33333
kandal,1831095,11.41667,105
kep,1830937,10.5125,104.31667
koh kong,1831037,11.5,103.5
kratie,1830563,12.66667,106.08333
mondul kiri,1830306,12.75,107
nationwide,1831722,13,105
otdar meanchey,1822210,14.16667,103.5
pailin,1830206,12.86667,102.6
phnom penh,1830103,11.57489,104.91394
preah sihanouk,1899262,10.66667,103.75
preah vihear,1822676,13.75,105
prey veng,1822609,11.36667,105.46667
pursat,1821301,12.33333,103.66667
ratanak kiri,1822449,13.83333,107.11667
siem reap,1822213,13.5,104
stung treng,1822028,13.75,106.25
svay rieng,1821992,11.16667,105.83333
takeo,1821939,10.91667,104.83333
