Target Location	Geonames ID	Latitude	Longitude
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Kampong Cham			,1831172,12.08333,105.58333
Kampong Chhnang			,1831166,12.16667,104.55
Kampong Speu			,1831132,11.5,104.33333
Kampong Thom			,1831124,12.83333,105
Kampong Speu			,1831132,11.5,104.33333
Kampong Cham			,1831172,12.08333,105.58333
Kampong Chhnang			,1831166,12.16667,104.55
Kratie			,1830563,12.66667,106.08333
Prey Veng			,1822609,11.36667,105.46667
Kampong Thom			,1831124,12.83333,105
Kampong Cham			,1831172,12.08333,105.58333
Kampong Chhnang			,1831166,12.16667,104.55
Kampong Speu			,1831132,11.5,104.33333
Kampong Thom			,1831124,12.83333,105
Nationwide			,1831722,13,105
Kampot			,1831111,10.83333,104.33333
Takeo			,1821939,10.91667,104.83333
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Kampong Thom			,1831124,12.83333,105
Kampot			,1831111,10.83333,104.33333
Prey Veng			,1822609,11.36667,105.46667
Kandal			,1831095,11.41667,105
Kampot			,1831111,10.83333,104.33333
Svay Rieng			,1821992,11.16667,105.83333
Takeo			,1821939,10.91667,104.83333
Prey Veng			,1822609,11.36667,105.46667
Kandal			,1831095,11.41667,105
Kampot			,1831111,10.83333,104.33333
Svay Rieng			,1821992,11.16667,105.83333
Takeo			,1821939,10.91667,104.83333
Kratie			,1830563,12.66667,106.08333
Preah Vihear			,1822676,13.75,105
Ratanak Kiri			,1822449,13.83333,107.11667
Nationwide			,1831722,13,105
Kratie			,1830563,12.66667,106.08333
Preah Vihear			,1822676,13.75,105
Ratanak Kiri			,1822449,13.83333,107.11667
Prey Veng			,1822609,11.36667,105.46667
Svay Rieng			,1821992,11.16667,105.83333
Kampong Thom			,1831124,12.83333,105
Kampot			,1831111,10.83333,104.33333
Banteay Meanchey			,1899273,13.75,103
Kampong Cham			,1831172,12.08333,105.58333
Siem Reap			,1822213,13.5,104
Kampong Thom			,1831124,12.83333,105
Banteay Meanchey			,1899273,13.75,103
Kampong Cham			,1831172,12.08333,105.58333
Siem Reap			,1822213,13.5,104
Kampong Thom			,1831124,12.83333,105
Preah Sihanouk			,1899262,10.66667,103.75
Kampong Cham			,1831172,12.08333,105.58333
Kampot			,1831111,10.83333,104.33333
Otdar Meanchey			,1822210,14.16667,103.5
Banteay Meanchey			,1899273,13.75,103
Siem Reap			,1822213,13.5,104
Phnom Penh			,1830103,11.57489,104.91394
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Kampong Thom			,1831124,12.83333,105
Ratanak Kiri			,1822449,13.83333,107.11667
Mondul Kiri			,1830306,12.75,107
Preah Vihear			,1822676,13.75,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Pailin			,1830206,12.86667,102.6
Battambang			,1821310,12.91667,103.08333
Banteay Meanchey			,1899273,13.75,103
Nationwide			,1831722,13,105
Kampong Speu			,1831132,11.5,104.33333
Phnom Penh			,1830103,11.57489,104.91394
Mondul Kiri			,1830306,12.75,107
Ratanak Kiri			,1822449,13.83333,107.11667
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Banteay Meanchey			,1899273,13.75,103
Battambang			,1821310,12.91667,103.08333
Otdar Meanchey			,1822210,14.16667,103.5
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Otdar Meanchey			,1822210,14.16667,103.5
			
			
			
			
			
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Battambang			,1821310,12.91667,103.08333
Pursat			,1821301,12.33333,103.66667
Kampong Chhnang			,1831166,12.16667,104.55
Nationwide			,1831722,13,105
Siem Reap			,1822213,13.5,104
Battambang			,1821310,12.91667,103.08333
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Mondul Kiri			,1830306,12.75,107
Ratanak Kiri			,1822449,13.83333,107.11667
Battambang			,1821310,12.91667,103.08333
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Nationwide			,1831722,13,105
Kampong Speu			,1831132,11.5,104.33333
Kampong Thom			,1831124,12.83333,105
Takeo			,1821939,10.91667,104.83333
Svay Rieng			,1821992,11.16667,105.83333
Siem Reap			,1822213,13.5,104
Pursat			,1821301,12.33333,103.66667
Prey Veng			,1822609,11.36667,105.46667
Kampot			,1831111,10.83333,104.33333
Kampong Chhnang			,1831166,12.16667,104.55
Battambang			,1821310,12.91667,103.08333
Banteay Meanchey			,1899273,13.75,103
Kampong Cham			,1831172,12.08333,105.58333
