Database ID,Country,Districts,Region,Departments,Sous Prefecture,Commune,Latitude,Longitude,GeoID,ISO,ISO3,Most Specific Location,GeoID,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code,admin3 code,admin4 code,population,elevation,dem,timezone,modification date
8886,Cote d`Ivoire,,,,,,,,,ci,CIV,,,,,,,,,,,,,,,,,
9115,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,,,,,,,,,,DISTRICT AUTONOME D'ABIDJAN,,,,,,,,,,,,,,,,
9445,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,,,,,,,,,DISTRICT AUTONOME D'ABIDJAN,,,,,,,,,,,,,,,,
9447,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,,,,,,,,ABIDJAN,2293538,5.30966,-4.01266,P,PPLA,CI,,82,,,,3677115,,10,Africa/Abidjan,2/28/12
,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,,,,,,,Abidjan,2293538,5.30966,-4.01266,P,PPLA,CI,,82,,,,3677115,,10,Africa/Abidjan,2/28/12
9450,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Abobo,,,,,,Abobo,2293521,5.41613,-4.0159,P,PPL,CI,,82,,,,900000,,105,Africa/Abidjan,2/28/12
9451,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Adjamﾒﾩ,,,,,,Adjamﾒﾩ,,,,,,,,,,,,,,,,
9452,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Attecoube,,,,,,Attecoube,,,,,,,,,,,,,,,,
9453,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Cocody,,,,,,Cocody,2290623,5.33507,-4.0039,P,PPL,CI,,82,,,,0,,43,Africa/Abidjan,1/17/12
9457,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Port Bouet,,,,,,Port Bouet,,,,,,,,,,,,,,,,
9458,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Treichville,,,,,,Treichville,2280250,5.28812,-4.00626,P,PPL,CI,,82,,,,0,,5,Africa/Abidjan,2/28/12
